x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3,,,
15.86597705,33.34450416,0.674860644,,13.84998536,32.00350486,0.740019603,,15.02488317,31.92017785,0.699295254,,,
16.07652156,33.51157921,0.670788209,,13.97676107,32.11832374,0.735947168,,15.15622841,32.0297401,0.695222819,,,
16.23062943,33.63183716,0.662643339,,14.12271157,32.24836089,0.727802298,,15.32567312,32.16991695,0.691150384,,,
16.40455031,33.76642018,0.658570904,,14.25088057,32.36162238,0.723729863,,15.45790636,32.27840579,0.687077949,,,
16.54024726,33.87054412,0.654498469,,14.36073971,32.45870365,0.723729863,,15.68609917,32.46253417,0.678933079,,,
16.69629357,33.98827584,0.6463536,,14.4893689,32.57144224,0.719657428,,15.81964795,32.56939942,0.674860644,,,
16.87238359,34.12000801,0.642281165,,14.63741821,32.69908475,0.711512558,,15.97227513,32.69153112,0.674860644,,,
17.00975862,34.22190776,0.63820873,,14.76741512,32.81024347,0.707440123,,16.12589198,32.81241566,0.666715774,,,
17.16675865,34.33836462,0.63820873,,14.91598302,32.937282,0.707440123,,16.26073637,32.91764137,0.662643339,,,
17.30454752,34.43970408,0.634136295,,15.00916054,33.01630228,0.703367689,,16.4158186,33.03664015,0.654498469,,,
17.48328321,34.56782361,0.62191899,,15.15926938,33.14151627,0.695222819,,16.53213027,33.12588924,0.654498469,,,
17.64215938,34.68170764,0.62191899,,15.29105971,33.25054272,0.691150384,,16.66825014,33.22945969,0.650426035,,,
17.80195784,34.79429388,0.61377412,,15.44167723,33.37514437,0.691150384,,16.8238157,33.34782593,0.650426035,,,
17.98224542,34.92022024,0.609701685,,15.57391047,33.4836332,0.687077949,,16.96119073,33.44972568,0.63820873,,,
,,,,15.72603901,33.60638546,0.678933079,,17.13834784,33.58001926,0.634136295,,,
,,,,15.85958779,33.7132507,0.674860644,,17.29582083,33.69583578,0.634136295,,,
,,,,15.99357067,33.81957119,0.670788209,,17.43402125,33.79661326,0.63006386,,,
,,,,16.12798541,33.92534517,0.666715774,,17.57263094,33.8968271,0.625991425,,,
,,,,16.2628298,34.03057087,0.662643339,,,,,,,
,,,,16.45668259,34.17931935,0.654498469,,,,,,,
,,,,16.57299426,34.26856843,0.654498469,,,,,,,
,,,,16.70911413,34.37213889,0.650426035,,,,,,,
,,,,16.88466622,34.50458708,0.6463536,,,,,,,
,,,,17.02162513,34.60704543,0.642281165,,,,,,,
,,,,17.15900016,34.70894518,0.63820873,,,,,,,
,,,,17.27675018,34.79628783,0.63820873,,,,,,,
,,,,17.43469352,34.91146209,0.63006386,,,,,,,
,,,,17.5733032,35.01167592,0.625991425,,,,,,,
,,,,17.71231985,35.11132445,0.62191899,,,,,,,
,,,,17.85174116,35.21040601,0.617846555,,,,,,,
